Run 1/1
Running simulation 'FL_A_Epidemic_100_SPMBM'
received Time: 555.1000000000577	 sent Time 60.00000000000058
received Time: 950.2000000001475	 sent Time 60.00000000000058
received Time: 1260.8999999999487	 sent Time 60.00000000000058
received Time: 2570.7999999987574	 sent Time 60.00000000000058
received Time: 1100.7000000000944	 sent Time 60.00000000000058
received Time: 950.6000000001476	 sent Time 60.00000000000058
received Time: 1100.6000000000945	 sent Time 60.00000000000058
received Time: 950.1000000001475	 sent Time 60.00000000000058
received Time: 1260.9999999999486	 sent Time 60.00000000000058
received Time: 3325.1999999980712	 sent Time 60.00000000000058
received Time: 1875.7999999993895	 sent Time 60.00000000000058
received Time: 554.8000000000576	 sent Time 60.00000000000058
received Time: 2347.1999999989607	 sent Time 60.00000000000058
received Time: 1972.6999999993013	 sent Time 60.00000000000058
received Time: 1100.8000000000943	 sent Time 60.00000000000058
received Time: 1873.7999999993913	 sent Time 60.00000000000058
received Time: 1876.399999999389	 sent Time 60.00000000000058
received Time: 2347.3999999989605	 sent Time 60.00000000000058
received Time: 1876.4999999993888	 sent Time 60.00000000000058
received Time: 951.3000000001477	 sent Time 60.00000000000058
received Time: 1974.8999999992993	 sent Time 60.00000000000058
received Time: 554.9000000000576	 sent Time 60.00000000000058
received Time: 950.8000000001476	 sent Time 60.00000000000058
received Time: 1973.9999999993001	 sent Time 60.00000000000058
received Time: 555.2000000000577	 sent Time 60.00000000000058
received Time: 1974.0999999993	 sent Time 60.00000000000058
received Time: 3468.299999997941	 sent Time 60.00000000000058
received Time: 1875.9999999993893	 sent Time 60.00000000000058
received Time: 60.40000000000059	 sent Time 60.00000000000058
received Time: 1972.7999999993012	 sent Time 60.00000000000058
received Time: 950.5000000001476	 sent Time 60.00000000000058
received Time: 952.500000000148	 sent Time 60.00000000000058
received Time: 951.8000000001479	 sent Time 60.00000000000058
received Time: 1876.199999999389	 sent Time 60.00000000000058
received Time: 1974.7999999992994	 sent Time 60.00000000000058
received Time: 1974.1999999993	 sent Time 60.00000000000058
received Time: 951.7000000001478	 sent Time 60.00000000000058
received Time: 2348.5999999989594	 sent Time 60.00000000000058
received Time: 952.300000000148	 sent Time 60.00000000000058
received Time: 950.3000000001475	 sent Time 60.00000000000058
received Time: 1875.6999999993895	 sent Time 60.00000000000058
received Time: 953.5000000001482	 sent Time 60.00000000000058
received Time: 953.2000000001482	 sent Time 60.00000000000058
received Time: 1873.8999999993912	 sent Time 1140.5000000000582
received Time: 3221.999999998165	 sent Time 1140.5000000000582
received Time: 2744.3999999985995	 sent Time 1140.5000000000582
received Time: 3646.299999997779	 sent Time 1140.5000000000582
received Time: 2570.999999998757	 sent Time 1140.5000000000582
received Time: 3647.499999997778	 sent Time 1140.5000000000582
received Time: 3468.7999999979406	 sent Time 1140.5000000000582
received Time: 2348.7999999989593	 sent Time 1140.5000000000582
received Time: 3647.8999999977777	 sent Time 1140.5000000000582
received Time: 3646.599999997779	 sent Time 1140.5000000000582
received Time: 2571.8999999987564	 sent Time 1140.5000000000582
received Time: 1973.1999999993009	 sent Time 1140.5000000000582
received Time: 2348.899999998959	 sent Time 1140.5000000000582
received Time: 1527.1999999997065	 sent Time 1140.5000000000582
received Time: 3647.599999997778	 sent Time 1140.5000000000582
received Time: 2347.099999998961	 sent Time 1140.5000000000582
received Time: 3470.1999999979394	 sent Time 1140.5000000000582
received Time: 2348.19999999896	 sent Time 1140.5000000000582
received Time: 2570.8999999987573	 sent Time 1140.5000000000582
received Time: 2660.499999998676	 sent Time 1140.5000000000582
received Time: 2347.99999999896	 sent Time 1140.5000000000582
received Time: 4389.799999998439	 sent Time 1140.5000000000582
received Time: 2347.4999999989604	 sent Time 1140.5000000000582
received Time: 2402.99999999891	 sent Time 1140.5000000000582
received Time: 4388.299999998433	 sent Time 1140.5000000000582
received Time: 4389.4999999984375	 sent Time 1140.5000000000582
received Time: 1915.799999999353	 sent Time 1140.5000000000582
received Time: 2571.299999998757	 sent Time 1140.5000000000582
