Run 1/1
Running simulation 'FL_A_Epidemic_100_RWP'
received Time: 686.8000000000876	 sent Time 600.3000000000679
received Time: 1420.2999999998037	 sent Time 600.3000000000679
received Time: 914.8000000001394	 sent Time 600.3000000000679
received Time: 1038.9000000001506	 sent Time 600.3000000000679
received Time: 646.3000000000784	 sent Time 600.3000000000679
received Time: 1303.2999999999101	 sent Time 600.3000000000679
received Time: 1039.4000000001502	 sent Time 600.3000000000679
received Time: 1038.400000000151	 sent Time 600.3000000000679
received Time: 731.0000000000977	 sent Time 600.3000000000679
received Time: 661.6000000000819	 sent Time 600.3000000000679
received Time: 711.4000000000932	 sent Time 600.3000000000679
received Time: 631.0000000000749	 sent Time 600.3000000000679
received Time: 673.0000000000845	 sent Time 600.3000000000679
received Time: 653.7000000000801	 sent Time 600.3000000000679
received Time: 915.3000000001396	 sent Time 600.3000000000679
received Time: 1039.2000000001503	 sent Time 600.3000000000679
received Time: 1580.9999999996576	 sent Time 600.3000000000679
received Time: 1971.0999999993028	 sent Time 600.3000000000679
received Time: 1305.9999999999077	 sent Time 600.3000000000679
received Time: 646.2000000000784	 sent Time 600.3000000000679
received Time: 1420.1999999998038	 sent Time 600.3000000000679
received Time: 1158.300000000042	 sent Time 840.3000000001225
received Time: 1374.1999999998457	 sent Time 840.3000000001225
received Time: 944.5000000001462	 sent Time 840.3000000001225
received Time: 1868.7999999993958	 sent Time 840.3000000001225
received Time: 1038.8000000001507	 sent Time 840.3000000001225
received Time: 841.3000000001227	 sent Time 840.3000000001225
received Time: 841.2000000001227	 sent Time 840.3000000001225
received Time: 909.6000000001383	 sent Time 840.3000000001225
received Time: 1868.9999999993956	 sent Time 840.3000000001225
received Time: 908.600000000138	 sent Time 840.3000000001225
received Time: 1071.1000000001213	 sent Time 840.3000000001225
received Time: 1303.49999999991	 sent Time 840.3000000001225
received Time: 863.4000000001278	 sent Time 840.3000000001225
received Time: 1027.400000000161	 sent Time 840.3000000001225
received Time: 877.9000000001311	 sent Time 840.3000000001225
received Time: 959.3000000001496	 sent Time 840.3000000001225
received Time: 1132.6000000000654	 sent Time 840.3000000001225
received Time: 902.4000000001366	 sent Time 840.3000000001225
received Time: 908.500000000138	 sent Time 840.3000000001225
received Time: 1908.29999999936	 sent Time 840.3000000001225
received Time: 944.6000000001462	 sent Time 840.3000000001225
