received Time: 1840.099999999422	 sent Time 1681.3999999995663
received Time: 2081.0999999992027	 sent Time 1681.3999999995663
received Time: 1826.1999999994346	 sent Time 1681.3999999995663
received Time: 2916.6999999984428	 sent Time 1681.3999999995663
received Time: 2408.7999999989047	 sent Time 1681.3999999995663
received Time: 2916.8999999984426	 sent Time 1681.3999999995663
received Time: 1742.5999999995106	 sent Time 1681.3999999995663
received Time: 1695.3999999995535	 sent Time 1681.3999999995663
received Time: 2096.6999999991885	 sent Time 1921.7999999993476
received Time: 2097.099999999188	 sent Time 1921.7999999993476
received Time: 2480.999999998839	 sent Time 1921.7999999993476
received Time: 1934.499999999336	 sent Time 1921.7999999993476
received Time: 1921.9999999993474	 sent Time 1921.7999999993476
received Time: 3895.899999997552	 sent Time 1921.7999999993476
received Time: 2916.599999998443	 sent Time 1921.7999999993476
received Time: 2916.299999998443	 sent Time 1921.7999999993476
received Time: 2917.299999998442	 sent Time 1921.7999999993476
received Time: 2917.8999999984417	 sent Time 1921.7999999993476
received Time: 2100.8999999991847	 sent Time 1921.7999999993476
received Time: 2481.6999999988384	 sent Time 1921.7999999993476
received Time: 2918.0999999984415	 sent Time 1921.7999999993476
received Time: 2917.599999998442	 sent Time 1921.7999999993476
received Time: 1981.4999999992933	 sent Time 1921.7999999993476
received Time: 1982.2999999992926	 sent Time 1921.7999999993476
received Time: 2916.199999998443	 sent Time 1921.7999999993476
received Time: 2915.9999999984434	 sent Time 1921.7999999993476
received Time: 1933.599999999337	 sent Time 1921.7999999993476
received Time: 2281.4999999990205	 sent Time 1921.7999999993476
received Time: 2408.9999999989045	 sent Time 1921.7999999993476
received Time: 2101.3999999991843	 sent Time 1921.7999999993476
received Time: 2918.8999999984408	 sent Time 1921.7999999993476
received Time: 2408.499999998905	 sent Time 1921.7999999993476
received Time: 2917.499999998442	 sent Time 1921.7999999993476
received Time: 2011.6999999992659	 sent Time 1921.7999999993476
received Time: 2101.899999999184	 sent Time 1921.7999999993476
received Time: 3659.699999997767	 sent Time 2162.199999999129
received Time: 2181.2999999991116	 sent Time 2162.199999999129
received Time: 3175.999999998207	 sent Time 2162.199999999129
received Time: 2264.199999999036	 sent Time 2162.199999999129
received Time: 2223.499999999073	 sent Time 2162.199999999129
received Time: 2916.399999998443	 sent Time 2162.199999999129
received Time: 2172.999999999119	 sent Time 2162.199999999129
received Time: 2408.8999999989046	 sent Time 2162.199999999129
received Time: 3733.8999999976995	 sent Time 2162.199999999129
received Time: 2917.7999999984418	 sent Time 2162.199999999129
received Time: 2918.799999998441	 sent Time 2162.199999999129
received Time: 2918.1999999984414	 sent Time 2162.199999999129
